operator_id,operator_type,dimension,score,timestamp
OP-003,Lagging,Data_Fabric,1.9,2024-02-01
OP-003,Lagging,Service_Graph,1.5,2024-02-01
OP-003,Lagging,AI_Analytics,1.3,2024-02-01
OP-003,Lagging,Closed_Loop_Auto,1.0,2024-02-01
OP-003,Lagging,Culture,1.6,2024-02-01
OP-003,Lagging,Org_Readiness,1.9,2024-02-01
OP-003,Lagging,Strategic_Alignment,2.0,2024-02-01
OP-001,Advanced,Data_Fabric,4.3,2024-03-01
OP-001,Advanced,Service_Graph,4.2,2024-03-01
OP-001,Advanced,AI_Analytics,4.6,2024-03-01
OP-001,Advanced,Closed_Loop_Auto,4.0,2024-03-01
OP-001,Advanced,Culture,4.2,2024-03-01
OP-001,Advanced,Org_Readiness,4.4,2024-03-01
OP-001,Advanced,Strategic_Alignment,4.5,2024-03-01
OP-002,Mid-tier,Data_Fabric,2.9,2024-03-01
OP-002,Mid-tier,Service_Graph,2.6,2024-03-01
OP-002,Mid-tier,AI_Analytics,2.5,2024-03-01
OP-002,Mid-tier,Closed_Loop_Auto,2.3,2024-03-01
OP-002,Mid-tier,Culture,2.8,2024-03-01
OP-002,Mid-tier,Org_Readiness,3.0,2024-03-01
OP-002,Mid-tier,Strategic_Alignment,3.1,2024-03-01
OP-003,Lagging,Data_Fabric,1.9,2024-03-01
OP-003,Lagging,Service_Graph,1.6,2024-03-01
OP-003,Lagging,AI_Analytics,1.3,2024-03-01
OP-003,Lagging,Closed_Loop_Auto,1.1,2024-03-01
OP-003,Lagging,Culture,1.7,2024-03-01
OP-003,Lagging,Org_Readiness,2.0,2024-03-01
OP-003,Lagging,Strategic_Alignment,2.1,2024-03-01
OP-001,Advanced,Data_Fabric,4.4,2024-04-01
OP-001,Advanced,Service_Graph,4.2,2024-04-01
OP-001,Advanced,AI_Analytics,4.6,2024-04-01
OP-001,Advanced,Closed_Loop_Auto,4.0,2024-04-01
OP-001,Advanced,Culture,4.2,2024-04-01
OP-001,Advanced,Org_Readiness,4.4,2024-04-01
OP-001,Advanced,Strategic_Alignment,4.5,2024-04-01
OP-002,Mid-tier,Data_Fabric,3.0,2024-04-01
OP-002,Mid-tier,Service_Graph,2.7,2024-04-01
OP-002,Mid-tier,AI_Analytics,2.5,2024-04-01
OP-002,Mid-tier,Closed_Loop_Auto,2.3,2024-04-01
OP-002,Mid-tier,Culture,2.8,2024-04-01
OP-002,Mid-tier,Org_Readiness,3.0,2024-04-01
OP-002,Mid-tier,Strategic_Alignment,3.1,2024-04-01
OP-003,Lagging,Data_Fabric,2.0,2024-04-01
OP-003,Lagging,Service_Graph,1.6,2024-04-01
OP-003,Lagging,AI_Analytics,1.3,2024-04-01
OP-003,Lagging,Closed_Loop_Auto,1.1,2024-04-01
OP-003,Lagging,Culture,1.7,2024-04-01
OP-003,Lagging,Org_Readiness,2.0,2024-04-01
OP-003,Lagging,Strategic_Alignment,2.1,2024-04-01
OP-001,Advanced,Data_Fabric,4.4,2024-05-01
OP-001,Advanced,Service_Graph,4.3,2024-05-01
OP-001,Advanced,AI_Analytics,4.7,2024-05-01
OP-001,Advanced,Closed_Loop_Auto,4.1,2024-05-01
OP-001,Advanced,Culture,4.2,2024-05-01
OP-001,Advanced,Org_Readiness,4.4,2024-05-01
OP-001,Advanced,Strategic_Alignment,4.5,2024-05-01
OP-002,Mid-tier,Data_Fabric,3.1,2024-05-01
OP-002,Mid-tier,Service_Graph,2.8,2024-05-01
OP-002,Mid-tier,AI_Analytics,2.6,2024-05-01
OP-002,Mid-tier,Closed_Loop_Auto,2.4,2024-05-01
OP-002,Mid-tier,Culture,2.9,2024-05-01
OP-002,Mid-tier,Org_Readiness,3.1,2024-05-01
OP-002,Mid-tier,Strategic_Alignment,3.2,2024-05-01
OP-003,Lagging,Data_Fabric,2.0,2024-05-01
OP-003,Lagging,Service_Graph,1.7,2024-05-01
OP-003,Lagging,AI_Analytics,1.4,2024-05-01
OP-003,Lagging,Closed_Loop_Auto,1.1,2024-05-01
OP-003,Lagging,Culture,1.8,2024-05-01
OP-003,Lagging,Org_Readiness,2.0,2024-05-01
OP-003,Lagging,Strategic_Alignment,2.1,2024-05-01
OP-001,Advanced,Data_Fabric,4.5,2024-06-01
OP-001,Advanced,Service_Graph,4.3,2024-06-01
OP-001,Advanced,AI_Analytics,4.7,2024-06-01
OP-001,Advanced,Closed_Loop_Auto,4.2,2024-06-01
OP-001,Advanced,Culture,4.3,2024-06-01
OP-001,Advanced,Org_Readiness,4.5,2024-06-01
OP-001,Advanced,Strategic_Alignment,4.6,2024-06-01
OP-002,Mid-tier,Data_Fabric,3.1,2024-06-01
OP-002,Mid-tier,Service_Graph,2.8,2024-06-01
OP-002,Mid-tier,AI_Analytics,2.6,2024-06-01
OP-002,Mid-tier,Closed_Loop_Auto,2.4,2024-06-01
OP-002,Mid-tier,Culture,2.9,2024-06-01
OP-002,Mid-tier,Org_Readiness,3.1,2024-06-01
OP-002,Mid-tier,Strategic_Alignment,3.2,2024-06-01
OP-003,Lagging,Data_Fabric,2.1,2024-06-01
OP-003,Lagging,Service_Graph,1.7,2024-06-01
OP-003,Lagging,AI_Analytics,1.4,2024-06-01
OP-003,Lagging,Closed_Loop_Auto,1.2,2024-06-01
OP-003,Lagging,Culture,1.8,2024-06-01
OP-003,Lagging,Org_Readiness,2.1,2024-06-01
OP-003,Lagging,Strategic_Alignment,2.2,2024-06-01
OP-001,Advanced,Data_Fabric,4.5,2024-07-01
OP-001,Advanced,Service_Graph,4.3,2024-07-01
OP-001,Advanced,AI_Analytics,4.7,2024-07-01
OP-001,Advanced,Closed_Loop_Auto,4.2,2024-07-01
OP-001,Advanced,Culture,4.3,2024-07-01
OP-001,Advanced,Org_Readiness,4.5,2024-07-01
OP-001,Advanced,Strategic_Alignment,4.6,2024-07-01
OP-002,Mid-tier,Data_Fabric,3.2,2024-07-01
OP-002,Mid-tier,Service_Graph,2.9,2024-07-01
OP-002,Mid-tier,AI_Analytics,2.7,2024-07-01
OP-002,Mid-tier,Closed_Loop_Auto,2.5,2024-07-01
OP-002,Mid-tier,Culture,3.0,2024-07-01
OP-002,Mid-tier,Org_Readiness,3.2,2024-07-01
OP-002,Mid-tier,Strategic_Alignment,3.3,2024-07-01
OP-003,Lagging,Data_Fabric,2.1,2024-07-01
OP-003,Lagging,Service_Graph,1.8,2024-07-01
OP-003,Lagging,AI_Analytics,1.5,2024-07-01
OP-003,Lagging,Closed_Loop_Auto,1.2,2024-07-01
OP-003,Lagging,Culture,1.8,2024-07-01
OP-003,Lagging,Org_Readiness,2.1,2024-07-01
OP-003,Lagging,Strategic_Alignment,2.2,2024-07-01
OP-001,Advanced,Data_Fabric,4.5,2024-08-01
OP-001,Advanced,Service_Graph,4.4,2024-08-01
OP-001,Advanced,AI_Analytics,4.8,2024-08-01
OP-001,Advanced,Closed_Loop_Auto,4.3,2024-08-01
OP-001,Advanced,Culture,4.3,2024-08-01
OP-001,Advanced,Org_Readiness,4.5,2024-08-01
OP-001,Advanced,Strategic_Alignment,4.6,2024-08-01
OP-002,Mid-tier,Data_Fabric,3.2,2024-08-01
OP-002,Mid-tier,Service_Graph,2.9,2024-08-01
OP-002,Mid-tier,AI_Analytics,2.7,2024-08-01
OP-002,Mid-tier,Closed_Loop_Auto,2.5,2024-08-01
OP-002,Mid-tier,Culture,3.0,2024-08-01
OP-002,Mid-tier,Org_Readiness,3.2,2024-08-01
OP-002,Mid-tier,Strategic_Alignment,3.3,2024-08-01
OP-003,Lagging,Data_Fabric,2.2,2024-08-01
OP-003,Lagging,Service_Graph,1.8,2024-08-01
OP-003,Lagging,AI_Analytics,1.5,2024-08-01
OP-003,Lagging,Closed_Loop_Auto,1.2,2024-08-01
OP-003,Lagging,Culture,1.9,2024-08-01
OP-003,Lagging,Org_Readiness,2.1,2024-08-01
OP-003,Lagging,Strategic_Alignment,2.2,2024-08-01
OP-001,Advanced,Data_Fabric,4.6,2024-09-01
OP-001,Advanced,Service_Graph,4.4,2024-09-01
OP-001,Advanced,AI_Analytics,4.8,2024-09-01
OP-001,Advanced,Closed_Loop_Auto,4.3,2024-09-01
OP-001,Advanced,Culture,4.4,2024-09-01
OP-001,Advanced,Org_Readiness,4.6,2024-09-01
OP-001,Advanced,Strategic_Alignment,4.6,2024-09-01
OP-002,Mid-tier,Data_Fabric,3.3,2024-09-01
OP-002,Mid-tier,Service_Graph,3.0,2024-09-01
OP-002,Mid-tier,AI_Analytics,2.8,2024-09-01
OP-002,Mid-tier,Closed_Loop_Auto,2.6,2024-09-01
OP-002,Mid-tier,Culture,3.0,2024-09-01
OP-002,Mid-tier,Org_Readiness,3.2,2024-09-01
OP-002,Mid-tier,Strategic_Alignment,3.3,2024-09-01
OP-003,Lagging,Data_Fabric,2.2,2024-09-01
OP-003,Lagging,Service_Graph,1.9,2024-09-01
OP-003,Lagging,AI_Analytics,1.5,2024-09-01
OP-003,Lagging,Closed_Loop_Auto,1.3,2024-09-01
OP-003,Lagging,Culture,1.9,2024-09-01
OP-003,Lagging,Org_Readiness,2.2,2024-09-01
OP-003,Lagging,Strategic_Alignment,2.3,2024-09-01
OP-001,Advanced,Data_Fabric,4.6,2024-10-01
OP-001,Advanced,Service_Graph,4.4,2024-10-01
OP-001,Advanced,AI_Analytics,4.8,2024-10-01
OP-001,Advanced,Closed_Loop_Auto,4.4,2024-10-01
OP-001,Advanced,Culture,4.4,2024-10-01
OP-001,Advanced,Org_Readiness,4.6,2024-10-01
OP-001,Advanced,Strategic_Alignment,4.7,2024-10-01
OP-002,Mid-tier,Data_Fabric,3.3,2024-10-01
OP-002,Mid-tier,Service_Graph,3.0,2024-10-01
OP-002,Mid-tier,AI_Analytics,2.8,2024-10-01
OP-002,Mid-tier,Closed_Loop_Auto,2.6,2024-10-01
OP-002,Mid-tier,Culture,3.1,2024-10-01
OP-002,Mid-tier,Org_Readiness,3.3,2024-10-01
OP-002,Mid-tier,Strategic_Alignment,3.4,2024-10-01
OP-003,Lagging,Data_Fabric,2.3,2024-10-01
OP-003,Lagging,Service_Graph,1.9,2024-10-01
OP-003,Lagging,AI_Analytics,1.6,2024-10-01
OP-003,Lagging,Closed_Loop_Auto,1.3,2024-10-01
OP-003,Lagging,Culture,1.9,2024-10-01
OP-003,Lagging,Org_Readiness,2.2,2024-10-01
OP-003,Lagging,Strategic_Alignment,2.3,2024-10-01
OP-001,Advanced,Data_Fabric,4.6,2024-11-01
OP-001,Advanced,Service_Graph,4.5,2024-11-01
OP-001,Advanced,AI_Analytics,4.9,2024-11-01
OP-001,Advanced,Closed_Loop_Auto,4.4,2024-11-01
OP-001,Advanced,Culture,4.4,2024-11-01
OP-001,Advanced,Org_Readiness,4.6,2024-11-01
OP-001,Advanced,Strategic_Alignment,4.7,2024-11-01
OP-002,Mid-tier,Data_Fabric,3.4,2024-11-01
OP-002,Mid-tier,Service_Graph,3.1,2024-11-01
OP-002,Mid-tier,AI_Analytics,2.9,2024-11-01
OP-002,Mid-tier,Closed_Loop_Auto,2.7,2024-11-01
OP-002,Mid-tier,Culture,3.1,2024-11-01
OP-002,Mid-tier,Org_Readiness,3.3,2024-11-01
OP-002,Mid-tier,Strategic_Alignment,3.4,2024-11-01
OP-003,Lagging,Data_Fabric,2.3,2024-11-01
OP-003,Lagging,Service_Graph,2.0,2024-11-01
OP-003,Lagging,AI_Analytics,1.6,2024-11-01
OP-003,Lagging,Closed_Loop_Auto,1.3,2024-11-01
OP-003,Lagging,Culture,2.0,2024-11-01
OP-003,Lagging,Org_Readiness,2.2,2024-11-01
OP-003,Lagging,Strategic_Alignment,2.3,2024-11-01
OP-001,Advanced,Data_Fabric,4.7,2024-12-01
OP-001,Advanced,Service_Graph,4.5,2024-12-01
OP-001,Advanced,AI_Analytics,4.9,2024-12-01
OP-001,Advanced,Closed_Loop_Auto,4.5,2024-12-01
OP-001,Advanced,Culture,4.5,2024-12-01
OP-001,Advanced,Org_Readiness,4.7,2024-12-01
OP-001,Advanced,Strategic_Alignment,4.7,2024-12-01
OP-002,Mid-tier,Data_Fabric,3.4,2024-12-01
OP-002,Mid-tier,Service_Graph,3.1,2024-12-01
OP-002,Mid-tier,AI_Analytics,2.9,2024-12-01
OP-002,Mid-tier,Closed_Loop_Auto,2.7,2024-12-01
OP-002,Mid-tier,Culture,3.2,2024-12-01
OP-002,Mid-tier,Org_Readiness,3.4,2024-12-01
OP-002,Mid-tier,Strategic_Alignment,3.5,2024-12-01
OP-003,Lagging,Data_Fabric,2.4,2024-12-01
OP-003,Lagging,Service_Graph,2.0,2024-12-01
OP-003,Lagging,AI_Analytics,1.6,2024-12-01
OP-003,Lagging,Closed_Loop_Auto,1.4,2024-12-01
OP-003,Lagging,Culture,2.0,2024-12-01
OP-003,Lagging,Org_Readiness,2.3,2024-12-01
OP-003,Lagging,Strategic_Alignment,2.4,2024-12-01
